ars,name,designation,postal_code,district,state,lat,lng,population
130725251075,Nienhagen,Ostseebad,18211,Landkreis Rostock,Mecklenburg-Vorpommern,54.160638,11.952838,2218
032575405026,Nienstädt,,31688,Schaumburg,Niedersachsen,52.292917,9.165807,4216
010625218051,Nienwohld,,23863,Stormarn,Schleswig-Holstein,53.786824,10.193688,483
130735358060,Niepars,,18442,Vorpommern-Rügen,Mecklenburg-Vorpommern,54.313711,12.923481,2377
072315008504,Niersbach,,54518,Bernkastel-Wittlich,Rheinland-Pfalz,49.940626,6.741066,725
073395007043,Nierstein,Stadt,55283,Mainz-Bingen,Rheinland-Pfalz,49.872587,8.337848,8078
010595990148,Niesgrau,,24395,Schleswig-Flensburg,Schleswig-Holstein,54.744112,9.812919,539
146260370370,Niesky,Stadt,02906,Görlitz,Sachsen,51.293789,14.823061,8956
066330019019,Nieste,,34329,Kassel,Hessen,51.313325,9.671331,1986
066330020020,Niestetal,,34266,Kassel,Hessen,51.320368,9.546625,11118
071415010098,Nievern,,56132,Rhein-Lahn-Kreis,Rheinland-Pfalz,50.337414,7.680516,1059
160755005074,Nimritz,,07381,Saale-Orla-Kreis,Thüringen,50.700391,11.651182,352
072325006279,Nimshuscheid,,54612,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,50.100277,6.488267,259
072325006280,Nimsreuland,,54614,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,50.131252,6.449581,93
010515175078,Nindorf,,25704,Dithmarschen,Schleswig-Holstein,54.086722,9.114943,1145
010585895115,Nindorf,,24594,Rendsburg-Eckernförde,Schleswig-Holstein,54.131914,9.699683,622
071435002276,Nister,,57645,Westerwaldkreis,Rheinland-Pfalz,50.675237,7.834847,1084
071435006278,Nister-Möhrendorf,,56477,Westerwaldkreis,Rheinland-Pfalz,50.657462,8.076546,309
071435001277,Nisterau,,56472,Westerwaldkreis,Rheinland-Pfalz,50.656884,7.989124,834
071325003079,Nisterberg,,56472,Altenkirchen (Westerwald),Rheinland-Pfalz,50.680133,7.978139,369
071435001279,Nistertal,,57647,Westerwaldkreis,Rheinland-Pfalz,50.626792,7.89282,1198
072355003095,Nittel,,54453,Trier-Saarburg,Rheinland-Pfalz,49.654488,6.444344,2504
093760149149,Nittenau,St,93149,Schwandorf,Bayern,49.196567,12.268896,9145
093750175175,Nittendorf,M,93152,Regensburg,Bayern,49.024405,11.961222,8920
072335004228,Nitz,,56729,Vulkaneifel,Rheinland-Pfalz,50.333593,7.023789,29
160775051036,Nobitz,,04603,Altenburger Land,Thüringen,50.977188,12.48572,6962
071415009099,Nochern,,56357,Rhein-Lahn-Kreis,Rheinland-Pfalz,50.176802,7.723661,470
010585822116,Noer,,24214,Rendsburg-Eckernförde,Schleswig-Holstein,54.461334,10.005045,852
071345002061,Nohen,,55767,Birkenfeld,Rheinland-Pfalz,49.639314,7.243069,353
100460114114,Nohfelden,,66625,St. Wendel,Saarland,49.586753,7.143099,9949
072335006229,Nohn,,54578,Vulkaneifel,Rheinland-Pfalz,50.330111,6.786624,460
071435004055,Nomborn,,56412,Westerwaldkreis,Rheinland-Pfalz,50.427613,7.913328,664
097760120120,Nonnenhorn,,88149,Lindau (Bodensee),Bayern,47.576263,9.608645,1756
096789454454,Nonnenkloster,,,Schweinfurt,Bayern,49.89064,10.43592,0
100460115115,Nonnweiler,,66620,St. Wendel,Saarland,49.606237,6.970552,8484
071405009110,Norath,,56291,Rhein-Hunsrück-Kreis,Rheinland-Pfalz,50.125564,7.57922,492
010515178079,Norddeich,,25764,Dithmarschen,Schleswig-Holstein,54.218049,8.899964,417
010545488089,Norddorf auf Amrum,,25946,Nordfriesland,Schleswig-Holstein,54.679638,8.332935,526
034520019019,Norden,Stadt,26506,Aurich,Niedersachsen,53.59498,7.202462,25178
097725706185,Nordendorf,,86695,Augsburg,Bayern,48.594912,10.831375,2599
034610007007,Nordenham,Stadt,26954,Wesermarsch,Niedersachsen,53.484863,8.484084,25889
010595974063,Norderbrarup,,24392,Schleswig-Flensburg,Schleswig-Holstein,54.655735,9.768542,679
010545417090,Norderfriedrichskoog,,25870,Nordfriesland,Schleswig-Holstein,54.400271,8.893583,45
010515169080,Norderheistedt,,25779,Dithmarschen,Schleswig-Holstein,54.245331,9.146139,122
010515175137,Nordermeldorf,,25704,Dithmarschen,Schleswig-Holstein,54.112068,9.013736,596
034520020020,Norderney,Stadt,26548,Aurich,Niedersachsen,53.707276,7.145431,5343
010600063063,Norderstedt,Stadt,22846,Segeberg,Schleswig-Holstein,53.706115,9.996943,82844
010515172081,Norderwöhrden,,25746,Dithmarschen,Schleswig-Holstein,54.192783,9.000232,248
010595952149,Nordhackstedt,,24980,Schleswig-Flensburg,Schleswig-Holstein,54.7334,9.166985,479
094760159159,Nordhalben,M,96365,Kronach,Bayern,50.373073,11.5095,1526
150850227227,Nordharz,,38871,Harz,Sachsen-Anhalt,51.921309,10.757221,7656
010515172082,Nordhastedt,,25785,Dithmarschen,Schleswig-Holstein,54.17205,9.182991,2767
160620041041,Nordhausen,Stadt,99734,Nordhausen,Thüringen,51.500441,10.791619,40767
081255006074,Nordheim,,74226,Heilbronn,Baden-Württemberg,49.109167,9.126068,8480
096755619155,Nordheim a.Main,,97334,Kitzingen,Bayern,49.858395,10.18145,986
096735637147,Nordheim v.d.Rhön,,97647,Rhön-Grabfeld,Bayern,50.478924,10.18169,1046
071435007056,Nordhofen,,56242,Westerwaldkreis,Rheinland-Pfalz,50.516866,7.751683,526
034560015015,Nordhorn,Stadt,48529,Grafschaft Bentheim,Niedersachsen,52.435804,7.071263,56973
055580028028,Nordkirchen,,59394,Coesfeld,Nordrhein-Westfalen,51.738183,7.525307,10762
033525411041,Nordleda,,21765,Cuxhaven,Niedersachsen,53.763622,8.834004,950
083175014085,Nordrach,,77787,Ortenaukreis,Baden-Württemberg,48.397329,8.078796,1980
034529501501,Nordseeinsel Memmert,gemfr. Gebiet,26571,Aurich,Niedersachsen,53.639822,6.886293,0
032575404027,Nordsehl,,31717,Schaumburg,Niedersachsen,52.357575,9.18224,663
032540026026,Nordstemmen,,31171,Hildesheim,Niedersachsen,52.160076,9.782956,11876
010545492091,Nordstrand,,25845,Nordfriesland,Schleswig-Holstein,54.484823,8.860249,2326
055660064064,Nordwalde,,48356,Steinfurt,Nordrhein-Westfalen,52.084294,7.480649,10024
120730429429,Nordwestuckermark,,17291,Uckermark,Brandenburg,53.331298,13.707767,4097
071335006071,Norheim,,55585,Bad Kreuznach,Rheinland-Pfalz,49.80823,7.814738,1583
071435001280,Norken,,57629,Westerwaldkreis,Rheinland-Pfalz,50.671829,7.897919,980
010545453092,Norstedt,,25884,Nordfriesland,Schleswig-Holstein,54.588429,9.129313,380
031550011011,Northeim,Stadt,37154,Northeim,Niedersachsen,51.705681,10.000406,27326
034575403016,Nortmoor,,26845,Leer,Niedersachsen,53.247364,7.562055,1805
010585864117,Nortorf,Stadt,24589,Rendsburg-Eckernförde,Schleswig-Holstein,54.168012,9.855638,7190
010615179077,Nortorf,,25554,Steinburg,Schleswig-Holstein,53.926535,9.290542,819
